0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.953021856024861336e-04,3.888573264703154564e-03,-6.065607070922851562e-03,-8.698979392647743225e-03,7.893131114542484283e-03,9.458768181502819061e-03
-4.602449014782905579e-03,6.465376820415258408e-03,-1.317834854125976562e-02,-1.615840941667556763e-02,1.567821204662322998e-02,1.408223714679479599e-02
-1.068553049117326736e-02,9.772850200533866882e-03,-1.839089393615722656e-02,-2.541002072393894196e-02,2.212756685912609100e-02,2.127336710691452026e-02
-1.780910044908523560e-02,1.553812809288501740e-02,-1.444935798645019531e-02,-2.473218552768230438e-02,1.153471600264310837e-02,1.581461913883686066e-02
-2.119135297834873199e-02,1.825112476944923401e-02,-2.234601974487304688e-02,-3.362179175019264221e-02,2.048042602837085724e-02,2.092030271887779236e-02
-2.801270596683025360e-02,2.370070852339267731e-02,-2.053070068359375000e-02,-3.201121091842651367e-02,9.529841132462024689e-03,1.437429059296846390e-02
-3.338522091507911682e-02,2.572689205408096313e-02,-2.482604980468750000e-02,-3.644826635718345642e-02,3.155367448925971985e-04,3.443950787186622620e-03
-3.992207348346710205e-02,2.936101704835891724e-02,-2.896714210510253906e-02,-3.767863288521766663e-02,9.543163701891899109e-03,1.302771084010601044e-02
-4.088869690895080566e-02,3.307775780558586121e-02,-3.475475311279296875e-02,-4.677705094218254089e-02,1.754687726497650146e-02,2.072083950042724609e-02
-4.706917330622673035e-02,3.619334101676940918e-02,-3.398418426513671875e-02,-4.791298508644104004e-02,2.623363025486469269e-02,1.657024770975112915e-02
-5.114987865090370178e-02,4.115656018257141113e-02,-4.223108291625976562e-02,-5.866549164056777954e-02,3.172185644507408142e-02,2.629304304718971252e-02
-4.979769513010978699e-02,4.522009566426277161e-02,-4.920649528503417969e-02,-6.745412945747375488e-02,3.799382969737052917e-02,3.234177082777023315e-02
-5.844231322407722473e-02,4.954528063535690308e-02,-4.528760910034179688e-02,-6.540849804878234863e-02,2.772391587495803833e-02,2.816570177674293518e-02
-5.854085460305213928e-02,5.044133961200714111e-02,-5.117011070251464844e-02,-7.309619337320327759e-02,3.376640379428863525e-02,3.658083453774452209e-02
